#
#  Z   A  s   Syma    Ea     hwa   Symb    Eb     hwb    Deltaf
#                   [MeV]   [MeV]        [MeV]   [MeV]    [MeV]
#--------------------------------------------------------------
  80 196 Hg    S    16.9 
  80 198 Hg    S    16.6 
  80 199 Hg    S    18.2 
  80 200 Hg    S    17.7 
  81 200 Tl    S    22.8 
  81 201 Tl    S    23.1 
  82 204 Pb    S    23.5 
  82 205 Pb    S    24.6 
  82 206 Pb    S    25.3 
  82 207 Pb    S    27.0 
  82 208 Pb    S    27.4 
  83 206 Bi    S    22.4 
  83 207 BI    S    22.8 
  83 208 Bi    S    23.8 
  83 209 Bi    S    24.3 
  83 210 BI    S    24.3 
  84 207 Bi    S    19.3 
  84 208 Po    S    19.9 
  84 209 Po    S    21.1 
  84 210 Po    S    21.2 
  84 211 Po    S    20.6 
  84 212 Po    S    19.6 
  85 212 At    S    18.6 
  85 213 At    S    17.3 
  86 216 Rn    S    13.5 
  88 225 Ra    S     7.6  
  88 226 Ra    S     8.5  
  88 227 Ra    S     8.2  
  88 228 Ra    S     8.0  
  89 226 Ac    S     7.8  
  89 227 Ac    S     7.4  
  89 228 Ac    S     7.1  
  90 230 Th    S     6.10    0.90   MA    6.80    0.60    0.832
  90 231 Th    S     6.00    0.70   MA    6.70    0.50    0.830
  90 232 Th    S     5.80    0.90   MA    6.70    0.60    0.828
  90 233 Th    S     5.10    0.70   MA    6.65    0.50    0.806
  91 230 Pa    S     5.60    0.60   MA    5.80    0.40    0.802
  91 231 Pa    S     5.50    1.00   MA    5.50    0.50    0.800
  91 232 Pa    S     5.00    0.60   MA    6.40    0.40    0.828
  91 233 Pa    S     5.70    1.00   MA    5.80    0.50    0.808
  91 234 Pa    S     6.30    0.60   MA    6.15    0.40    0.806
  92 231 U     S     4.40    0.70   MA    5.50    0.50    0.869
  92 232 U     S     4.90    0.90   MA    5.40    0.60    0.848
  92 233 U     S     4.35    0.80   MA    5.55    0.50    0.946
  92 234 U     S     4.80    0.90   MA    5.50    0.60    0.889
  92 235 U     S     5.25    0.70   MA    6.00    0.50    0.803
  92 236 U     S     5.00    0.90   MA    5.67    0.60    0.833
  92 237 U     GA    6.40    0.70   MA    6.15    0.50    0.809
  92 238 U     GA    6.30    1.00   MA    5.50    0.60    0.818
  92 239 U     GA    6.45    0.70   MA    6.00    0.50    0.816
  93 236 Np    GA    5.90    0.60   MA    5.40    0.40    0.821
  93 237 Np    GA    6.00    1.00   MA    5.40    0.50    0.819
  93 238 Np    GA    6.50    0.60   MA    5.75    0.40    0.820
  94 237 Pu    S     5.10    0.70   MA    5.15    0.50    0.799
  94 238 Pu    S     5.60    0.90   MA    5.10    0.60    0.818
  94 239 Pu    GA    6.20    0.70   MA    5.70    0.50    0.816
  94 240 Pu    GA    6.05    0.90   MA    5.15    0.60    0.875
  94 241 Pu    GA    6.15    0.70   MA    5.50    0.50    0.855
  94 242 Pu    GA    5.85    0.90   MA    5.05    0.60    0.846
  94 243 Pu    GA    6.05    0.70   MA    5.45    0.50    0.910
  94 244 Pu    GA    5.70    0.90   MA    4.85    0.60    0.848
  94 245 Pu    GA    5.85    0.70   MA    5.25    0.50    0.855
  95 239 Am    GA    6.00    0.80   MA    5.40    0.56    0.776
  95 240 Am    GA    6.10    0.60   MA    6.00    0.40    0.775
  95 241 Am    GA    6.00    0.80   MA    5.35    0.50    0.773
  95 242 Am    GA    6.32    0.60   MA    5.78    0.40    0.884
  95 243 Am    GA    6.40    1.00   MA    5.05    0.50    0.770
  95 244 Am    GA    6.25    0.70   MA    5.90    0.53    0.808
  96 241 Cm    GA    7.15    0.70   MA    5.50    0.50    0.793
  96 242 Cm    GA    6.65    0.90   MA    5.00    0.60    0.811
  96 243 Cm    GA    6.33    0.70   MA    5.40    0.50    0.810
  96 244 Cm    GA    6.18    0.90   MA    5.10    0.60    0.868
  96 245 Cm    GA    6.35    0.70   MA    5.45    0.50    0.867
  96 246 Cm    GA    6.00    0.90   MA    4.80    0.60    0.865
  96 247 Cm    GA    6.12    0.70   MA    5.10    0.50    0.883
  96 248 Cm    GA    5.80    0.90   MA    4.80    0.60    0.842
  96 249 Cm    GA    5.63    0.70   MA    4.95    0.50    0.900
