278Nh  278  113    1    0    1    1    0.000000    0.803000
  1   0.000000  -1.0  0  2.300E-03  0                            1 AP 1.0000E+02 %A                                                                                                                                                                                                             0.000000       
279Nh  279  113    1    0    1    1    7.721000    0.982000
  1   0.000000  -1.0  0  1.000E-03  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
280Nh  280  113    1    0    1    1    6.170000    1.179000
  1   0.000000  -1.0  0  1.000E-02  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
281Nh  281  113    1    0    1    1    7.402000    1.175000
  1   0.000000  -1.0  0  1.000E-01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
282Nh  282  113    1    0    1    1    6.156000    1.583000
  1   0.000000  -1.0  0  1.400E-01  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
283Nh  283  113    1    0    1    1    7.090000    1.558000
  1   0.000000  -1.0  0  1.600E-01  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
284Nh  284  113    1    0    1    1    6.187000    2.184000
  1   0.000000  -1.0  0  9.300E-01  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
285Nh  285  113    1    0    1    1    6.932000    2.104000
  1   0.000000  -1.0  0  3.300E+00  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
286Nh  286  113    1    0    1    1    5.787000    2.448000
  1   0.000000  -1.0  0  7.000E+00  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
287Nh  287  113    1    0    1    1    6.840000    0.000000
  1   0.000000  -1.0  0  1.200E+02  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
